ProductKey,OrderDateKey,DueDateKey,ShipDate,CustomerKey,SalesOrderNumber,SalesAmount
381,20190101,20190113,2019-01-08 00:00:00.000,16942,SO46700,1000.4375
375,20190101,20190113,2019-01-08 00:00:00.000,15114,SO46701,2181.5625
369,20190101,20190113,2019-01-08 00:00:00.000,15116,SO46702,2443.35
337,20190101,20190113,2019-01-08 00:00:00.000,20576,SO46703,782.99
370,20190101,20190113,2019-01-08 00:00:00.000,13059,SO46704,2443.35
370,20190101,20190113,2019-01-08 00:00:00.000,13085,SO46705,2443.35
352,20190101,20190113,2019-01-08 00:00:00.000,20186,SO46706,2071.4196
337,20190101,20190113,2019-01-08 00:00:00.000,15199,SO46707,782.99
377,20190101,20190113,2019-01-08 00:00:00.000,21200,SO46708,2181.5625
387,20190102,20190114,2019-01-09 00:00:00.000,19172,SO46709,1000.4375
356,20190102,20190114,2019-01-09 00:00:00.000,11484,SO46710,2071.4196
369,20190102,20190114,2019-01-09 00:00:00.000,13592,SO46711,2443.35
373,20190102,20190114,2019-01-09 00:00:00.000,13779,SO46712,2181.5625
371,20190102,20190114,2019-01-09 00:00:00.000,24778,SO46713,2181.5625
368,20190102,20190114,2019-01-09 00:00:00.000,13093,SO46714,2443.35
375,20190102,20190114,2019-01-09 00:00:00.000,24976,SO46715,2181.5625
375,20190102,20190114,2019-01-09 00:00:00.000,25046,SO46716,2181.5625
368,20190102,20190114,2019-01-09 00:00:00.000,25048,SO46717,2443.35
360,20190102,20190114,2019-01-09 00:00:00.000,12570,SO46718,2049.0982
362,20190103,20190115,2019-01-10 00:00:00.000,11604,SO46719,2049.0982
371,20190103,20190115,2019-01-10 00:00:00.000,13667,SO46720,2181.5625
370,20190103,20190115,2019-01-10 00:00:00.000,16046,SO46721,2443.35
385,20190103,20190115,2019-01-10 00:00:00.000,17095,SO46722,1000.4375
368,20190103,20190115,2019-01-10 00:00:00.000,12918,SO46723,2443.35
368,20190103,20190115,2019-01-10 00:00:00.000,28663,SO46724,2443.35
369,20190103,20190115,2019-01-10 00:00:00.000,21191,SO46725,2443.35
373,20190103,20190115,2019-01-10 00:00:00.000,20999,SO46726,2181.5625
370,20190103,20190115,2019-01-10 00:00:00.000,21002,SO46727,2443.35
358,20190103,20190115,2019-01-10 00:00:00.000,12354,SO46728,2049.0982
321,20190103,20190115,2019-01-10 00:00:00.000,26019,SO46729,782.99
379,20190104,20190116,2019-01-11 00:00:00.000,15100,SO46730,2181.5625
371,20190104,20190116,2019-01-11 00:00:00.000,15101,SO46731,2181.5625
385,20190104,20190116,2019-01-11 00:00:00.000,13992,SO46732,1000.4375
375,20190104,20190116,2019-01-11 00:00:00.000,24781,SO46733,2181.5625
375,20190104,20190116,2019-01-11 00:00:00.000,13060,SO46734,2181.5625
371,20190104,20190116,2019-01-11 00:00:00.000,13226,SO46735,2181.5625
360,20190104,20190116,2019-01-11 00:00:00.000,12341,SO46736,2049.0982
354,20190104,20190116,2019-01-11 00:00:00.000,12346,SO46737,2071.4196
362,20190104,20190116,2019-01-11 00:00:00.000,12576,SO46738,2049.0982
373,20190105,20190117,2019-01-12 00:00:00.000,15699,SO46739,2181.5625
379,20190105,20190117,2019-01-12 00:00:00.000,12980,SO46740,2181.5625
370,20190105,20190117,2019-01-12 00:00:00.000,28766,SO46741,2443.35
358,20190105,20190117,2019-01-12 00:00:00.000,20206,SO46742,2049.0982
373,20190105,20190117,2019-01-12 00:00:00.000,21183,SO46743,2181.5625
370,20190105,20190117,2019-01-12 00:00:00.000,21199,SO46744,2443.35
